duration,credit_amount,installment_commitment,residence_since,age,existing_credits,num_dependents,checking_status,credit_history,purpose,savings_status,employment,personal_status,other_parties,property_magnitude,other_payment_plans,housing,job,own_telephone,foreign_worker,target
15,3598,4,2,29,3,1,no checking,existing paid,car new,<100,>=7,male div/sep,none,no property,bank,own,skilled,yes,no,0
62,1397,4,4,37,2,2,>=200,existing paid,business,<100,unemployed,male single,none,life insurance,none,own,skilled,no,no,0
62,4694,4,0,43,3,1,no checking,existing paid,repairs,<100,>=7,male mar/wid,co-applicant,car,none,own,skilled,no,no,0
47,2697,3,0,49,2,2,0<=X<200,all paid,car new,500<=X<1000,1<=X<4,male single,guarantor,real estate,none,own,skilled,yes,no,1
62,4631,3,1,38,3,1,<0,all paid,education,unknown,4<=X<7,male mar/wid,none,no property,none,own,unskilled resident,yes,no,0
51,4752,2,4,27,2,2,0<=X<200,existing paid,furniture,unknown,>=7,female div/dep/mar,none,no property,none,own,skilled,yes,no,0
55,2433,1,3,37,2,1,0<=X<200,delayed,other,100<=X<500,1<=X<4,male div/sep,guarantor,no property,bank,for free,unskilled non-resident,no,no,0
64,4458,4,4,29,2,1,0<=X<200,no credits,radio/tv,<100,1<=X<4,male single,none,no property,none,own,skilled,yes,no,1
3,2819,4,1,37,2,2,no checking,existing paid,retraining,500<=X<1000,>=7,male mar/wid,none,car,none,own,highly skilled,no,no,0
51,2827,1,4,54,4,2,no checking,delayed,radio/tv,unknown,>=7,male single,co-applicant,real estate,none,for free,skilled,no,no,0
7,3592,4,4,44,3,1,0<=X<200,all paid,business,100<=X<500,>=7,male div/sep,none,real estate,none,own,unskilled resident,yes,no,1
21,3626,3,1,37,3,2,>=200,no credits,car new,<100,1<=X<4,male mar/wid,none,no property,none,own,skilled,yes,no,1
39,3319,3,0,43,4,1,<0,existing paid,business,<100,unemployed,male single,none,no property,none,own,skilled,yes,no,0
18,1603,4,3,44,2,2,no checking,existing paid,furniture,unknown,4<=X<7,female div/dep/mar,none,life insurance,none,for free,highly skilled,no,no,0
4,3119,3,1,22,2,1,no checking,all paid,retraining,100<=X<500,<1,female div/dep/mar,none,real estate,bank,for free,skilled,yes,no,0
60,6119,3,2,35,3,2,no checking,existing paid,car new,unknown,>=7,male single,none,real estate,none,for free,unskilled resident,yes,no,0
14,250,4,0,65,4,1,no checking,existing paid,radio/tv,100<=X<500,unemployed,female div/dep/mar,guarantor,no property,none,own,skilled,no,no,0
9,4358,2,2,49,2,2,0<=X<200,existing paid,car new,<100,4<=X<7,male single,none,real estate,none,own,skilled,yes,no,1
53,4592,1,0,28,2,1,<0,all paid,radio/tv,100<=X<500,<1,male single,none,real estate,none,own,skilled,yes,no,1
2,1573,3,3,27,2,1,no checking,existing paid,radio/tv,100<=X<500,<1,male div/sep,none,car,none,own,skilled,yes,no,0
60,2684,2,3,27,1,2,no checking,critical,education,<100,>=7,male div/sep,none,no property,none,for free,skilled,no,no,0
71,2020,3,4,45,4,2,0<=X<200,delayed,other,<100,>=7,male single,none,no property,none,own,skilled,yes,no,0
44,5588,3,2,54,2,1,<0,delayed,car new,<100,unemployed,male mar/wid,none,no property,bank,own,skilled,yes,no,0
8,4649,1,0,41,1,1,no checking,existing paid,car used,<100,unemployed,male mar/wid,none,no property,none,own,skilled,no,no,0
47,4710,3,3,36,4,1,<0,existing paid,education,100<=X<500,<1,female div/dep/mar,none,no property,none,own,highly skilled,yes,no,1
35,3421,1,1,29,2,1,>=200,existing paid,radio/tv,unknown,>=7,female div/dep/mar,none,no property,none,own,skilled,no,no,0
36,4911,1,3,38,3,2,no checking,all paid,domestic appliance,500<=X<1000,>=7,male single,none,real estate,bank,own,skilled,yes,no,0
50,3260,1,1,25,1,1,0<=X<200,all paid,car new,>=1000,unemployed,male div/sep,none,no property,stores,own,highly skilled,yes,no,0
4,4969,2,0,18,1,1,<0,existing paid,retraining,100<=X<500,4<=X<7,male div/sep,none,no property,none,own,skilled,yes,no,0
2,3085,4,3,54,2,1,no checking,all paid,radio/tv,100<=X<500,>=7,male single,none,real estate,none,own,skilled,yes,no,0
6,2421,2,3,22,2,2,no checking,all paid,radio/tv,<100,>=7,male div/sep,none,no property,none,own,skilled,yes,no,0
54,5534,4,0,31,1,1,no checking,delayed,other,500<=X<1000,>=7,male single,none,life insurance,none,for free,highly skilled,yes,no,0
4,3244,4,3,42,3,2,0<=X<200,all paid,car used,100<=X<500,4<=X<7,male single,none,car,none,own,skilled,yes,no,1
54,2147,1,1,52,3,2,<0,all paid,radio/tv,<100,<1,male div/sep,guarantor,car,stores,for free,skilled,yes,no,1
63,2133,3,3,38,4,2,no checking,no credits,radio/tv,unknown,1<=X<4,male div/sep,none,life insurance,none,own,skilled,yes,no,0
18,2137,1,2,20,2,2,no checking,existing paid,repairs,100<=X<500,>=7,female div/dep/mar,none,no property,bank,own,skilled,yes,no,0
44,4326,3,4,31,3,2,0<=X<200,existing paid,furniture,100<=X<500,>=7,female div/dep/mar,none,no property,none,own,highly skilled,yes,no,1
34,3147,4,1,26,4,2,no checking,existing paid,car used,<100,4<=X<7,male mar/wid,none,no property,none,own,unskilled resident,no,no,0
62,6143,1,2,34,3,2,0<=X<200,existing paid,education,500<=X<1000,4<=X<7,female div/dep/mar,co-applicant,no property,none,own,skilled,yes,no,0
14,4753,3,0,49,2,1,0<=X<200,critical,education,unknown,4<=X<7,male div/sep,none,real estate,none,own,unskilled non-resident,yes,no,0
48,3592,2,1,18,4,1,<0,delayed,domestic appliance,<100,4<=X<7,male single,none,no property,bank,rent,skilled,no,no,0
15,5025,3,4,30,4,2,0<=X<200,delayed,radio/tv,<100,1<=X<4,male single,none,no property,none,own,highly skilled,yes,no,0
72,2651,1,4,29,4,1,>=200,delayed,car new,500<=X<1000,>=7,male single,none,real estate,none,own,unskilled resident,yes,no,0
62,952,2,0,19,3,1,no checking,existing paid,repairs,<100,unemployed,female div/dep/mar,none,no property,none,own,skilled,yes,no,0
40,2034,3,0,42,2,2,no checking,all paid,radio/tv,unknown,1<=X<4,male div/sep,guarantor,no property,none,own,skilled,no,no,0
53,3455,3,1,18,4,1,no checking,no credits,furniture,>=1000,>=7,male single,none,no property,bank,rent,skilled,yes,no,0
24,2992,3,3,19,1,2,<0,no credits,car new,<100,unemployed,male single,none,real estate,none,own,skilled,no,no,0
26,4301,3,0,45,2,1,<0,existing paid,furniture,<100,<1,male single,none,car,none,rent,skilled,no,no,1
60,3115,3,3,53,1,2,<0,delayed,furniture,>=1000,1<=X<4,male single,none,no property,none,for free,highly skilled,yes,no,0
41,4206,2,2,34,1,2,<0,existing paid,education,<100,>=7,male mar/wid,none,no property,none,own,skilled,no,no,1
29,5147,4,4,20,4,1,no checking,no credits,car new,<100,>=7,male div/sep,none,real estate,none,for free,skilled,yes,yes,0
15,3111,2,3,26,4,1,no checking,existing paid,car new,unknown,unemployed,male single,none,no property,none,own,skilled,yes,no,0
45,3964,2,4,47,3,2,no checking,delayed,car used,100<=X<500,>=7,male div/sep,none,car,none,own,highly skilled,yes,no,0
65,1077,2,3,36,3,2,0<=X<200,existing paid,radio/tv,100<=X<500,1<=X<4,male div/sep,none,life insurance,stores,own,skilled,no,no,1
71,3116,4,2,33,3,2,0<=X<200,delayed,car new,<100,>=7,male div/sep,none,no property,none,own,skilled,yes,no,0
9,1731,1,0,38,2,1,>=200,delayed,domestic appliance,>=1000,>=7,male single,none,no property,none,own,skilled,yes,no,0
1,3452,4,2,34,3,1,<0,delayed,car new,100<=X<500,>=7,female div/dep/mar,none,life insurance,none,own,skilled,no,no,0
8,3565,2,0,53,1,1,no checking,critical,business,unknown,4<=X<7,male single,co-applicant,life insurance,bank,own,highly skilled,no,no,0
63,3561,3,0,26,3,1,no checking,critical,car new,unknown,>=7,male mar/wid,none,no property,none,own,unskilled resident,no,no,0
11,2670,3,4,24,4,2,0<=X<200,all paid,other,<100,>=7,male div/sep,none,no property,none,own,highly skilled,yes,no,0
8,6144,2,2,18,3,2,no checking,no credits,retraining,100<=X<500,>=7,female div/dep/mar,none,car,none,own,highly skilled,yes,no,0
35,1685,3,3,28,2,2,no checking,existing paid,radio/tv,100<=X<500,>=7,male single,none,real estate,none,own,skilled,yes,no,0
35,1609,2,2,21,2,2,<0,all paid,furniture,500<=X<1000,4<=X<7,male single,none,no property,none,own,skilled,no,no,0
33,5339,3,4,37,1,1,no checking,delayed,education,unknown,4<=X<7,male single,co-applicant,no property,bank,own,unskilled resident,yes,no,0
5,2390,4,0,35,2,2,0<=X<200,all paid,furniture,500<=X<1000,unemployed,male mar/wid,none,real estate,none,for free,unskilled resident,no,no,0
41,2090,1,4,22,3,2,<0,delayed,radio/tv,<100,1<=X<4,male single,none,no property,none,own,highly skilled,yes,no,0
28,6149,1,1,42,4,1,no checking,existing paid,repairs,unknown,>=7,male single,none,real estate,none,own,skilled,no,no,0
7,4503,4,1,53,2,1,no checking,existing paid,radio/tv,<100,>=7,male mar/wid,guarantor,no property,none,own,skilled,no,yes,0
72,2527,4,3,39,1,2,0<=X<200,delayed,car new,unknown,>=7,female div/dep/mar,none,no property,none,own,skilled,no,no,0
12,3542,2,4,18,3,1,0<=X<200,existing paid,car used,unknown,<1,male div/sep,none,no property,none,own,highly skilled,yes,no,0
34,5703,2,3,58,1,2,no checking,existing paid,radio/tv,100<=X<500,1<=X<4,male single,co-applicant,life insurance,none,own,skilled,yes,no,0
33,4135,2,3,43,2,1,no checking,all paid,retraining,<100,>=7,female div/dep/mar,none,no property,none,for free,skilled,yes,no,0
48,4878,3,1,58,2,1,no checking,existing paid,repairs,unknown,4<=X<7,male single,none,no property,none,own,skilled,yes,no,0
23,4277,2,3,48,1,2,0<=X<200,all paid,furniture,unknown,<1,male div/sep,none,no property,none,own,skilled,yes,no,0
62,4433,4,1,50,3,1,no checking,existing paid,furniture,100<=X<500,>=7,male single,none,no property,none,own,unskilled resident,no,no,0
37,3320,1,0,37,2,2,0<=X<200,existing paid,radio/tv,<100,>=7,female div/dep/mar,none,life insurance,stores,own,skilled,yes,no,1
44,3285,3,4,31,4,1,no checking,critical,business,500<=X<1000,4<=X<7,male div/sep,none,no property,stores,own,skilled,no,no,0
35,3604,2,3,39,2,1,<0,critical,radio/tv,<100,>=7,female div/dep/mar,none,no property,none,own,skilled,yes,no,0
65,4189,3,1,26,3,1,no checking,existing paid,car used,<100,>=7,female div/dep/mar,none,no property,none,own,skilled,yes,no,0
47,2916,3,2,40,2,1,0<=X<200,existing paid,repairs,<100,>=7,male single,none,no property,none,own,skilled,yes,yes,1
3,3423,2,3,18,1,1,>=200,delayed,radio/tv,<100,>=7,male single,none,no property,none,own,unskilled non-resident,no,yes,0
1,2883,3,0,35,2,2,0<=X<200,existing paid,other,500<=X<1000,<1,male div/sep,none,real estate,none,own,unskilled non-resident,yes,no,1
5,3415,1,0,51,2,1,0<=X<200,existing paid,radio/tv,unknown,>=7,male div/sep,guarantor,no property,none,own,skilled,no,no,0
14,1707,4,2,36,3,2,no checking,existing paid,retraining,unknown,unemployed,male mar/wid,co-applicant,no property,none,own,skilled,yes,no,0
27,6528,4,1,55,1,1,no checking,delayed,radio/tv,<100,unemployed,male div/sep,co-applicant,no property,bank,rent,skilled,no,no,0
9,2354,1,3,31,3,2,no checking,existing paid,car new,500<=X<1000,>=7,female div/dep/mar,none,no property,none,own,skilled,yes,no,0
15,2819,3,1,47,2,1,0<=X<200,existing paid,radio/tv,100<=X<500,>=7,male mar/wid,none,no property,none,own,skilled,yes,no,1
42,2246,2,0,24,4,2,no checking,existing paid,repairs,<100,>=7,male single,guarantor,real estate,none,own,skilled,no,no,0
51,4040,3,1,46,2,2,no checking,existing paid,car new,unknown,>=7,female div/dep/mar,co-applicant,car,none,own,skilled,no,no,0
63,3025,1,0,37,3,1,0<=X<200,all paid,radio/tv,100<=X<500,>=7,male single,none,car,none,own,unskilled resident,yes,no,1
52,2066,3,1,32,4,1,<0,existing paid,car new,unknown,>=7,male single,none,no property,none,own,unskilled resident,no,no,0
4,4092,4,2,18,3,1,no checking,critical,furniture,100<=X<500,4<=X<7,male div/sep,none,life insurance,none,own,skilled,yes,no,0
23,4260,3,4,31,3,2,no checking,delayed,car used,>=1000,4<=X<7,female div/dep/mar,none,real estate,none,own,highly skilled,no,no,0
15,3187,1,2,37,1,2,no checking,existing paid,other,<100,1<=X<4,female div/dep/mar,none,no property,none,own,skilled,yes,yes,0
43,2441,4,2,44,4,1,>=200,existing paid,furniture,100<=X<500,4<=X<7,female div/dep/mar,none,no property,none,own,highly skilled,yes,no,1
29,6009,3,4,53,2,1,no checking,all paid,radio/tv,<100,4<=X<7,female div/dep/mar,none,no property,none,own,skilled,yes,no,0
36,3696,3,4,59,3,2,0<=X<200,delayed,radio/tv,unknown,>=7,male single,none,no property,bank,own,skilled,no,no,0
13,1678,4,3,49,2,2,no checking,delayed,car new,unknown,>=7,male div/sep,none,no property,none,own,skilled,no,no,0
32,5038,2,3,28,1,1,no checking,all paid,furniture,unknown,>=7,female div/dep/mar,none,real estate,none,own,unskilled resident,yes,no,0
71,2201,4,2,31,1,2,<0,all paid,education,unknown,>=7,male mar/wid,guarantor,no property,none,own,unskilled resident,no,no,0
59,6698,2,2,43,4,1,no checking,critical,radio/tv,unknown,>=7,male single,none,car,none,for free,highly skilled,yes,no,0
28,3370,1,0,41,1,1,0<=X<200,existing paid,furniture,<100,4<=X<7,male single,none,no property,none,own,skilled,no,no,1
66,4537,1,0,54,1,1,no checking,existing paid,domestic appliance,100<=X<500,unemployed,male div/sep,none,no property,bank,own,unskilled non-resident,yes,no,0
42,670,4,3,64,2,2,0<=X<200,all paid,radio/tv,unknown,1<=X<4,male mar/wid,none,no property,none,own,unskilled non-resident,yes,no,0
45,1665,4,3,62,1,2,0<=X<200,all paid,car new,>=1000,>=7,female div/dep/mar,none,no property,none,rent,highly skilled,yes,no,1
62,4938,1,0,52,1,2,0<=X<200,existing paid,business,unknown,1<=X<4,male div/sep,none,real estate,none,own,highly skilled,yes,no,0
57,3668,2,0,41,3,2,>=200,critical,business,<100,>=7,male mar/wid,none,no property,none,own,skilled,yes,no,0
6,5823,1,1,51,1,1,<0,existing paid,education,<100,>=7,male mar/wid,none,real estate,none,own,unskilled resident,no,no,1
28,3877,4,1,54,3,2,no checking,existing paid,car new,unknown,1<=X<4,male div/sep,none,no property,none,own,highly skilled,yes,yes,0
28,3452,1,0,33,1,1,no checking,all paid,other,500<=X<1000,1<=X<4,male div/sep,none,no property,none,own,skilled,no,yes,0
44,5412,4,1,28,1,1,no checking,existing paid,radio/tv,<100,4<=X<7,male single,none,no property,none,own,skilled,no,no,0
30,4533,4,4,25,4,1,<0,all paid,furniture,unknown,4<=X<7,male mar/wid,co-applicant,no property,bank,own,skilled,yes,no,0
62,3025,1,3,24,4,2,no checking,existing paid,radio/tv,unknown,>=7,female div/dep/mar,none,no property,none,rent,skilled,yes,yes,0
62,1903,2,3,18,3,1,<0,critical,education,<100,>=7,male mar/wid,none,car,none,own,skilled,no,no,0
1,306,3,0,37,1,1,no checking,no credits,furniture,unknown,>=7,male single,none,life insurance,none,own,highly skilled,no,no,0
27,2723,1,2,23,2,2,<0,no credits,business,unknown,>=7,female div/dep/mar,none,no property,none,own,skilled,no,no,0
62,1788,3,0,25,4,1,no checking,no credits,radio/tv,unknown,>=7,female div/dep/mar,none,no property,none,own,skilled,no,no,0
3,6518,1,1,43,2,2,no checking,existing paid,car new,unknown,>=7,female div/dep/mar,none,no property,none,rent,skilled,yes,no,0
70,2458,3,2,37,4,2,no checking,delayed,car new,500<=X<1000,1<=X<4,male single,none,no property,none,for free,skilled,no,no,0
72,2423,2,1,40,4,2,>=200,no credits,furniture,100<=X<500,>=7,female div/dep/mar,none,real estate,none,own,skilled,yes,no,1
27,1369,2,4,51,1,1,<0,delayed,business,<100,4<=X<7,male div/sep,guarantor,life insurance,none,rent,skilled,yes,no,0
9,2938,1,1,45,4,2,0<=X<200,all paid,education,<100,1<=X<4,male div/sep,guarantor,real estate,none,own,skilled,no,no,1
62,2440,4,4,53,2,2,no checking,delayed,retraining,100<=X<500,1<=X<4,male single,none,no property,none,own,unskilled resident,no,no,0
37,5443,3,4,35,4,2,no checking,existing paid,furniture,100<=X<500,>=7,male div/sep,none,real estate,none,own,unskilled resident,no,no,0
51,3481,4,1,54,3,2,<0,existing paid,car new,<100,1<=X<4,male single,none,real estate,none,own,skilled,yes,yes,1
44,3259,4,1,39,1,1,no checking,existing paid,repairs,100<=X<500,1<=X<4,male single,none,no property,none,own,skilled,no,no,0
24,3102,4,4,37,1,2,no checking,existing paid,radio/tv,<100,>=7,male div/sep,none,no property,none,rent,skilled,no,no,0
59,4253,2,2,52,3,1,no checking,delayed,radio/tv,unknown,>=7,male mar/wid,none,no property,none,own,skilled,no,no,0
32,2705,1,4,24,3,2,<0,critical,business,<100,>=7,female div/dep/mar,none,no property,bank,own,skilled,yes,no,0
52,4105,1,3,59,3,1,0<=X<200,existing paid,furniture,500<=X<1000,>=7,female div/dep/mar,none,no property,none,own,skilled,no,no,1
62,5288,2,4,31,4,2,0<=X<200,all paid,other,500<=X<1000,>=7,male single,none,no property,none,own,skilled,yes,no,1
58,3846,2,2,20,1,1,no checking,all paid,domestic appliance,<100,>=7,female div/dep/mar,none,no property,none,own,unskilled resident,no,no,0
52,2958,1,3,42,3,2,>=200,delayed,education,unknown,1<=X<4,male single,none,car,none,own,skilled,no,no,0
12,2079,4,0,30,4,1,>=200,existing paid,furniture,500<=X<1000,>=7,male mar/wid,none,car,none,for free,skilled,no,no,1
39,2927,3,0,59,3,1,no checking,existing paid,furniture,100<=X<500,>=7,male mar/wid,none,car,none,own,unskilled resident,yes,no,0
2,3974,3,2,29,2,1,no checking,existing paid,education,<100,4<=X<7,male div/sep,none,real estate,none,rent,highly skilled,yes,no,0
3,1355,3,4,38,2,2,no checking,delayed,business,100<=X<500,4<=X<7,female div/dep/mar,none,no property,none,own,skilled,yes,no,0
56,4310,4,1,18,1,1,>=200,existing paid,business,<100,4<=X<7,male div/sep,none,real estate,none,own,skilled,yes,no,0
59,3530,1,2,44,4,1,<0,critical,furniture,100<=X<500,>=7,female div/dep/mar,none,no property,none,own,skilled,no,yes,0
2,3084,2,3,25,2,1,no checking,critical,radio/tv,500<=X<1000,4<=X<7,male single,guarantor,life insurance,none,rent,unskilled resident,yes,no,0
2,2446,1,3,43,2,1,>=200,existing paid,education,unknown,>=7,male single,guarantor,no property,none,own,unskilled resident,yes,no,0
54,2675,4,0,29,4,2,0<=X<200,all paid,radio/tv,unknown,>=7,male div/sep,none,no property,none,own,skilled,no,no,0
1,4017,2,3,18,3,1,0<=X<200,delayed,repairs,<100,>=7,male mar/wid,none,no property,none,own,skilled,yes,no,0
19,3110,4,2,36,4,1,<0,existing paid,radio/tv,<100,>=7,male single,none,no property,none,own,skilled,no,no,1
2,2644,3,3,36,3,1,>=200,delayed,repairs,100<=X<500,4<=X<7,male single,none,car,none,own,highly skilled,yes,no,0
53,3856,3,2,45,2,2,no checking,no credits,car used,<100,unemployed,female div/dep/mar,co-applicant,no property,none,for free,skilled,yes,no,0
44,3906,4,1,53,2,1,no checking,no credits,business,<100,<1,male mar/wid,none,life insurance,none,own,unskilled non-resident,no,no,0
32,1709,2,0,57,2,1,no checking,delayed,furniture,unknown,>=7,male single,co-applicant,no property,none,for free,skilled,yes,no,0
70,3985,2,3,45,1,1,<0,existing paid,car used,<100,4<=X<7,male single,none,no property,none,own,skilled,yes,yes,1
32,6398,1,2,38,1,1,0<=X<200,existing paid,car new,unknown,<1,male div/sep,none,life insurance,none,own,skilled,yes,no,0
68,3858,3,4,18,1,2,<0,critical,business,<100,1<=X<4,female div/dep/mar,none,no property,none,own,unskilled non-resident,yes,no,0
55,1147,1,0,37,4,1,no checking,existing paid,furniture,unknown,>=7,male single,none,car,none,own,skilled,no,no,0
56,3492,1,1,37,2,1,0<=X<200,existing paid,furniture,>=1000,4<=X<7,male single,none,no property,none,own,unskilled resident,no,no,1
17,982,4,2,32,2,2,no checking,no credits,car new,unknown,>=7,male div/sep,none,no property,bank,own,skilled,yes,no,0
38,7230,4,1,42,4,2,no checking,delayed,radio/tv,<100,4<=X<7,female div/dep/mar,none,no property,none,own,skilled,no,no,0
24,6065,1,1,48,1,2,>=200,delayed,furniture,unknown,>=7,male mar/wid,none,no property,none,own,unskilled non-resident,no,yes,0
69,2438,3,3,25,4,1,0<=X<200,all paid,domestic appliance,unknown,unemployed,male div/sep,none,no property,none,own,skilled,no,no,0
70,463,4,3,24,1,2,no checking,delayed,radio/tv,unknown,>=7,male single,none,no property,none,rent,skilled,yes,no,0
11,2173,1,2,33,2,1,no checking,delayed,education,500<=X<1000,>=7,female div/dep/mar,none,life insurance,none,own,skilled,no,no,0
16,3044,1,4,27,3,2,0<=X<200,existing paid,education,unknown,1<=X<4,female div/dep/mar,none,no property,none,own,skilled,yes,no,0
59,1068,1,2,18,1,1,>=200,existing paid,car new,<100,>=7,male single,none,no property,stores,rent,skilled,no,no,0
70,3184,1,4,23,2,2,no checking,existing paid,radio/tv,500<=X<1000,>=7,male mar/wid,none,real estate,none,own,highly skilled,no,no,0
3,3036,1,1,20,2,1,<0,all paid,car new,unknown,>=7,male mar/wid,co-applicant,real estate,none,own,unskilled non-resident,yes,yes,0
20,3427,1,0,49,3,2,>=200,critical,radio/tv,100<=X<500,>=7,male single,none,car,none,own,highly skilled,yes,no,0
59,3558,4,2,55,2,1,<0,delayed,radio/tv,<100,4<=X<7,male single,none,no property,none,own,unskilled non-resident,yes,no,0
36,2063,3,2,21,2,1,no checking,existing paid,business,100<=X<500,>=7,male single,none,no property,none,own,skilled,yes,no,0
19,2204,1,4,41,1,1,<0,existing paid,education,unknown,>=7,male single,none,no property,none,for free,skilled,yes,no,0
67,3327,2,1,45,1,1,>=200,all paid,domestic appliance,<100,>=7,female div/dep/mar,none,no property,none,own,unskilled resident,no,no,1
19,2482,4,1,18,3,1,0<=X<200,no credits,radio/tv,<100,>=7,female div/dep/mar,none,real estate,none,for free,unskilled resident,yes,yes,0
20,4405,4,4,36,3,1,no checking,existing paid,furniture,<100,4<=X<7,male mar/wid,none,life insurance,bank,own,skilled,yes,yes,0
71,3315,1,1,65,2,1,no checking,no credits,radio/tv,unknown,>=7,male single,none,car,none,for free,highly skilled,yes,no,0
52,5602,4,3,43,1,1,no checking,existing paid,education,<100,>=7,female div/dep/mar,none,no property,none,own,skilled,yes,no,0
33,4296,1,0,32,3,2,no checking,existing paid,domestic appliance,unknown,<1,male mar/wid,none,real estate,none,own,skilled,yes,no,0
40,4650,3,2,28,3,1,no checking,critical,other,100<=X<500,>=7,female div/dep/mar,co-applicant,no property,bank,own,skilled,no,no,0
39,3436,3,0,18,4,1,<0,existing paid,radio/tv,unknown,>=7,male single,co-applicant,no property,none,own,skilled,yes,no,0
1,3467,4,2,40,3,2,0<=X<200,existing paid,car new,unknown,1<=X<4,male single,none,no property,none,own,skilled,no,no,0
11,5435,4,3,58,2,1,no checking,existing paid,car new,<100,<1,male single,none,no property,bank,for free,skilled,yes,no,0
57,2798,2,1,25,1,2,0<=X<200,no credits,radio/tv,100<=X<500,>=7,male mar/wid,none,no property,none,for free,unskilled resident,no,yes,1
50,3954,4,4,18,3,1,<0,no credits,radio/tv,unknown,<1,male mar/wid,none,life insurance,none,own,skilled,yes,no,0
23,2938,2,3,27,4,2,no checking,all paid,retraining,<100,<1,male mar/wid,none,real estate,none,own,skilled,no,no,0
31,2935,3,0,45,1,2,0<=X<200,delayed,domestic appliance,<100,4<=X<7,male mar/wid,none,no property,none,for free,unskilled resident,no,no,0
42,1809,3,4,29,3,1,0<=X<200,all paid,domestic appliance,unknown,<1,male single,none,no property,stores,own,unskilled non-resident,no,no,0
7,2342,1,1,25,4,2,no checking,critical,business,unknown,>=7,male mar/wid,none,no property,none,own,highly skilled,no,no,0
16,2110,3,3,35,3,1,no checking,delayed,car used,500<=X<1000,4<=X<7,male mar/wid,none,real estate,none,own,highly skilled,no,no,0
60,4013,2,4,37,1,1,>=200,critical,education,<100,>=7,male single,none,no property,bank,own,unskilled resident,no,no,0
2,4571,4,3,18,1,1,no checking,all paid,radio/tv,100<=X<500,>=7,male single,none,real estate,none,rent,unskilled resident,no,no,0
1,3152,1,3,32,1,1,no checking,delayed,radio/tv,<100,>=7,female div/dep/mar,none,real estate,none,own,unskilled resident,no,no,0
48,3558,2,1,29,2,2,no checking,no credits,car used,unknown,4<=X<7,male single,none,car,none,own,skilled,no,no,0
12,3080,4,2,27,3,1,<0,existing paid,business,unknown,>=7,male single,none,no property,none,own,skilled,yes,no,0
